,Compound,Date,Negative,Nuetral,Postitive,Target,Tweet Ago
57,0.5719,Sun Mar 25 18:40:04 +0000 2018,0.0,0.837,0.163,@BBC,57
58,0.0,Sun Mar 25 18:13:03 +0000 2018,0.0,1.0,0.0,@BBC,58
59,0.5267,Sun Mar 25 17:30:07 +0000 2018,0.0,0.815,0.185,@BBC,59
60,-0.6249,Mon Mar 26 19:03:02 +0000 2018,0.194,0.806,0.0,@BBC,60
61,0.7783,Mon Mar 26 18:24:04 +0000 2018,0.0,0.688,0.312,@BBC,61
62,0.0,Mon Mar 26 17:30:04 +0000 2018,0.0,1.0,0.0,@BBC,62
63,0.5859,Mon Mar 26 16:25:02 +0000 2018,0.0,0.787,0.213,@BBC,63
64,-0.3818,Mon Mar 26 15:45:04 +0000 2018,0.161,0.744,0.095,@BBC,64
65,0.0,Mon Mar 26 15:11:57 +0000 2018,0.0,1.0,0.0,@BBC,65
66,0.0,Mon Mar 26 12:58:02 +0000 2018,0.0,1.0,0.0,@BBC,66
67,0.4404,Mon Mar 26 11:48:03 +0000 2018,0.0,0.828,0.172,@BBC,67
68,-0.5106,Mon Mar 26 11:00:05 +0000 2018,0.163,0.837,0.0,@BBC,68
69,-0.128,Mon Mar 26 10:00:07 +0000 2018,0.07,0.93,0.0,@BBC,69
70,0.4588,Mon Mar 26 09:35:06 +0000 2018,0.0,0.864,0.136,@BBC,70
71,0.3182,Mon Mar 26 09:33:01 +0000 2018,0.0,0.753,0.247,@BBC,71
72,0.0,Mon Mar 26 09:04:01 +0000 2018,0.0,1.0,0.0,@BBC,72
73,0.5819,Mon Mar 26 08:29:04 +0000 2018,0.0,0.818,0.182,@BBC,73
74,0.2263,Mon Mar 26 07:30:10 +0000 2018,0.09,0.749,0.161,@BBC,74
75,0.128,Sun Mar 25 19:44:01 +0000 2018,0.077,0.821,0.101,@BBC,75
76,-0.7506,Sun Mar 25 19:15:06 +0000 2018,0.286,0.714,0.0,@BBC,76
77,0.5719,Sun Mar 25 18:40:04 +0000 2018,0.0,0.837,0.163,@BBC,77
78,0.0,Sun Mar 25 18:13:03 +0000 2018,0.0,1.0,0.0,@BBC,78
79,0.5267,Sun Mar 25 17:30:07 +0000 2018,0.0,0.815,0.185,@BBC,79
80,-0.6249,Mon Mar 26 19:03:02 +0000 2018,0.194,0.806,0.0,@BBC,80
81,0.7783,Mon Mar 26 18:24:04 +0000 2018,0.0,0.688,0.312,@BBC,81
82,0.0,Mon Mar 26 17:30:04 +0000 2018,0.0,1.0,0.0,@BBC,82
83,0.5859,Mon Mar 26 16:25:02 +0000 2018,0.0,0.787,0.213,@BBC,83
84,-0.3818,Mon Mar 26 15:45:04 +0000 2018,0.161,0.744,0.095,@BBC,84
85,0.0,Mon Mar 26 15:11:57 +0000 2018,0.0,1.0,0.0,@BBC,85
86,0.0,Mon Mar 26 12:58:02 +0000 2018,0.0,1.0,0.0,@BBC,86
87,0.4404,Mon Mar 26 11:48:03 +0000 2018,0.0,0.828,0.172,@BBC,87
88,-0.5106,Mon Mar 26 11:00:05 +0000 2018,0.163,0.837,0.0,@BBC,88
89,-0.128,Mon Mar 26 10:00:07 +0000 2018,0.07,0.93,0.0,@BBC,89
90,0.4588,Mon Mar 26 09:35:06 +0000 2018,0.0,0.864,0.136,@BBC,90
91,0.3182,Mon Mar 26 09:33:01 +0000 2018,0.0,0.753,0.247,@BBC,91
92,0.0,Mon Mar 26 09:04:01 +0000 2018,0.0,1.0,0.0,@BBC,92
93,0.5819,Mon Mar 26 08:29:04 +0000 2018,0.0,0.818,0.182,@BBC,93
94,0.2263,Mon Mar 26 07:30:10 +0000 2018,0.09,0.749,0.161,@BBC,94
95,0.128,Sun Mar 25 19:44:01 +0000 2018,0.077,0.821,0.101,@BBC,95
96,-0.7506,Sun Mar 25 19:15:06 +0000 2018,0.286,0.714,0.0,@BBC,96
97,0.5719,Sun Mar 25 18:40:04 +0000 2018,0.0,0.837,0.163,@BBC,97
98,0.0,Sun Mar 25 18:13:03 +0000 2018,0.0,1.0,0.0,@BBC,98
99,0.5267,Sun Mar 25 17:30:07 +0000 2018,0.0,0.815,0.185,@BBC,99
100,0.508,Mon Mar 26 22:14:25 +0000 2018,0.0,0.88,0.12,@CBS,0
101,0.0,Mon Mar 26 20:42:48 +0000 2018,0.0,1.0,0.0,@CBS,1
102,0.7959,Mon Mar 26 16:59:19 +0000 2018,0.0,0.786,0.214,@CBS,2
103,0.807,Mon Mar 26 16:05:18 +0000 2018,0.0,0.622,0.378,@CBS,3
104,0.0,Sun Mar 25 23:57:34 +0000 2018,0.0,1.0,0.0,@CBS,4
105,0.5319,Sun Mar 25 17:15:25 +0000 2018,0.062,0.78,0.157,@CBS,5
106,0.5399,Sat Mar 24 22:46:53 +0000 2018,0.0,0.801,0.199,@CBS,6
107,-0.34,Sat Mar 24 22:46:43 +0000 2018,0.185,0.7,0.115,@CBS,7
108,0.7003,Sat Mar 24 22:25:03 +0000 2018,0.0,0.791,0.209,@CBS,8
109,0.0,Sat Mar 24 22:21:37 +0000 2018,0.0,1.0,0.0,@CBS,9
110,0.0,Sat Mar 24 22:21:34 +0000 2018,0.0,1.0,0.0,@CBS,10
111,0.7184,Sat Mar 24 22:21:26 +0000 2018,0.0,0.667,0.333,@CBS,11
112,0.9451,Sat Mar 24 22:21:23 +0000 2018,0.0,0.58,0.42,@CBS,12
113,0.0,Sat Mar 24 20:00:02 +0000 2018,0.0,1.0,0.0,@CBS,13
114,0.6996,Fri Mar 23 22:33:52 +0000 2018,0.0,0.806,0.194,@CBS,14
115,0.4939,Fri Mar 23 22:33:04 +0000 2018,0.0,0.686,0.314,@CBS,15
116,0.8997,Fri Mar 23 22:32:48 +0000 2018,0.0,0.645,0.355,@CBS,16
117,0.0,Thu Mar 22 22:10:29 +0000 2018,0.0,1.0,0.0,@CBS,17
118,0.7081,Thu Mar 22 20:52:02 +0000 2018,0.066,0.623,0.311,@CBS,18
119,0.636,Thu Mar 22 00:23:38 +0000 2018,0.0,0.802,0.198,@CBS,19
120,0.508,Mon Mar 26 22:14:25 +0000 2018,0.0,0.88,0.12,@CBS,20
121,0.0,Mon Mar 26 20:42:48 +0000 2018,0.0,1.0,0.0,@CBS,21
